Country,Animal fats,Animal Products,Eggs,"Fish, Seafood",Meat,Offals,Cereals - Excluding Beer,Oilcrops,Pulses,Spices,Starchy Roots,Sugar Crops,Vegetable Oils,Vegetables,Vegetal Products,Fruits - Excluding Wine,Treenuts,Milk - Excluding Butter,Miscellaneous,Stimulants,Sugar & Sweeteners
Afghanistan,6.2224,21.6397,0.6859,0.0327,6.1244,0.3103,8.0353,1.0452,0.196,0.2776,0.049,0,17.0831,0.3593,28.3684,0.4246,0.7513,8.2803,0.0163,0.098,0
Albania,3.4172,32.0002,1.6448,0.1445,8.7428,0.2933,2.6734,3.1622,0.1148,0,0.051,0,9.2443,0.6503,17.9998,0.6418,0.9181,17.7576,0.017,0.527,0
Algeria,0.8972,14.4175,1.2171,0.2008,3.8961,0.1067,4.2035,1.1983,0.2698,0.1568,0.1129,0,27.3606,0.5145,35.5857,0.5772,0.8595,8.0934,0.0439,0.2886,0
Angola,1.313,15.3041,0.1539,1.4155,11.0268,0.1539,6.5545,3.9902,0.3282,0.0103,0.7078,0,22.4638,0.1231,34.701,0.3488,0.0308,1.2309,0.0308,0.1128,0
Antigua and Barbuda,4.6686,27.7033,0.3872,1.5263,14.3202,0.1347,3.2153,1.3579,0.0673,0.3591,0.0449,0,14.4436,0.2469,22.2995,1.2177,0.202,6.6607,0.0898,1.0549,0
Argentina,3.3076,30.3572,1.5706,0.1664,19.2693,0.1878,1.3316,0.064,0.0213,0.0213,0.111,0,17.3147,0.1878,19.6449,0.2091,0.1366,5.8512,0,0.2475,0
Armenia,6.2619,29.6642,1.6196,0.2218,10.8165,0.2734,2.5068,0.6602,0.0774,0.0103,0.0567,0,12.8127,0.8717,20.3384,0.5468,0.9542,10.4709,0.0361,1.8002,0
Australia,4.603,24.1099,0.7017,0.4515,11.6002,0.2339,0.9908,1.2929,0.026,0.1007,0.0422,0,20.3612,0.2144,25.8901,0.4028,1.6145,6.5196,0.052,0.7926,0
Austria,12.8517,27.8268,1.2147,0.4259,8.1099,0.075,1.2297,1.1367,0.012,0.102,0.045,0,17.9323,0.2039,22.1762,0.2249,0.8398,5.1497,0,0.4439,0
Azerbaijan,7.7987,32.1198,2.0197,0.2122,11.9993,0.1612,5.4481,0.1867,0.0255,0.017,0.1697,0,7.1538,0.6534,17.8802,0.594,2.2573,9.9202,0.017,1.3663,0
Bahamas,4.56,30.2259,1.2829,1.4991,17.4941,0.258,3.6327,2.6077,0.0209,0.2719,0.0349,0,10.1659,0.3974,19.7741,0.8995,0.4532,5.1318,0.3556,0.9343,0
Bangladesh,1.2369,9.8365,1.2664,2.1646,1.8407,0.1178,6.9946,0.6332,0.5448,1.0602,0.2209,0.0147,29.6422,0.3092,40.1561,0.427,0.2651,3.2249,0.0147,0.0295,0
Barbados,3.9733,25.8451,1.213,1.806,13.1382,0.097,2.1187,3.2616,0.2318,0.3181,0.1078,0,15.6882,0.2534,24.1576,0.4636,0.7817,5.6176,0.3235,0.6038,0
Belarus,7.8662,23.8181,1.5772,0.5151,11.5636,0.2316,4.8075,0.4392,0,0.016,0.1957,0,18.2119,0.3394,26.1859,0.2316,1.0462,2.0644,0.0519,0.8385,0
