start,end
Afghanistan,Angola
Afghanistan,Antigua and Barbuda
Afghanistan,Argentina
Afghanistan,Australia
Afghanistan,Austria
Afghanistan,Bahamas
Afghanistan,Bangladesh
Afghanistan,Belarus
Afghanistan,Belgium
Afghanistan,Belize
Afghanistan,Benin
Afghanistan,Bolivia
Afghanistan,Botswana
Afghanistan,Brazil
Afghanistan,Bulgaria
Afghanistan,Burkina Faso
Afghanistan,Cabo Verde
Afghanistan,Cambodia
Afghanistan,Cameroon
Afghanistan,Canada
Afghanistan,Central African Republic
Afghanistan,Chad
Afghanistan,Chile
Afghanistan,Colombia
Afghanistan,Congo
Afghanistan,Costa Rica
Afghanistan,Cote d'Ivoire
Afghanistan,Croatia
Afghanistan,Cuba
Afghanistan,Cyprus
Afghanistan,Czechia
Afghanistan,Djibouti
Afghanistan,Dominica
Afghanistan,Dominican Republic
Afghanistan,Ecuador
Afghanistan,Egypt
Afghanistan,Eswatini
Afghanistan,Ethiopia
Afghanistan,Fiji
Afghanistan,Finland
Afghanistan,France
Afghanistan,French Polynesia
Afghanistan,Gabon
Afghanistan,Gambia
Afghanistan,Germany
Afghanistan,Ghana
Afghanistan,Greece
Afghanistan,Grenada
Afghanistan,Guinea
Afghanistan,Guinea-Bissau
Afghanistan,Honduras
Afghanistan,Hungary
Afghanistan,Iceland
Afghanistan,India
Afghanistan,Indonesia
Afghanistan,Iran (Islamic Republic of)
Afghanistan,Iraq
Afghanistan,Ireland
Afghanistan,Italy
Afghanistan,Jamaica
Afghanistan,Japan
Afghanistan,Jordan
Afghanistan,Kazakhstan
Afghanistan,Kenya
Afghanistan,Kiribati
Afghanistan,"Korea, North"
Afghanistan,"Korea, South"
Afghanistan,Kuwait
Afghanistan,Lao People's Democratic Republic
Afghanistan,Latvia
Afghanistan,Lesotho
Afghanistan,Liberia
Afghanistan,Lithuania
Afghanistan,Luxembourg
Afghanistan,Madagascar
Afghanistan,Malawi
Afghanistan,Malaysia
Afghanistan,Mali
Afghanistan,Mauritania
Afghanistan,Mauritius
Afghanistan,Mexico
Afghanistan,Mongolia
Afghanistan,Montenegro
Afghanistan,Mozambique
Afghanistan,Myanmar
Afghanistan,Namibia
