Country,Score
China,128.49
Philippines,127.44000000000003
Serbia,121.44000000000003
Vietnam,121.00000000000003
Bahamas,120.73000000000003
Azerbaijan,118.10000000000002
Saint Lucia,116.05000000000001
Bolivia,115.74000000000002
Lithuania,115.69000000000003
Chile,112.89000000000001
Iceland,112.74000000000002
Denmark,111.85000000000001
Armenia,110.77000000000002
Myanmar,110.44000000000003
Montenegro,109.45000000000002
Estonia,109.16000000000003
Barbados,108.09
New Zealand,107.34
Finland,106.50000000000003
Saint Vincent and the Grenadines,106.27000000000002
Antigua and Barbuda,106.20000000000002
Luxembourg,105.30000000000001
Malta,104.57000000000002
Dominica,104.23000000000003
Mexico,103.62
Albania,103.48000000000002
Cuba,102.92000000000002
Lao People's Democratic Republic,101.82000000000002
Kyrgyzstan,101.79000000000002
France,101.71000000000001
Maldives,100.76000000000002
Norway,100.59000000000002
Guyana,100.52000000000001
Latvia,100.29000000000002
Belarus,99.56
Turkmenistan,99.53
United Arab Emirates,99.17000000000002
Netherlands,98.89
Croatia,98.73000000000002
Oman,98.72000000000003
Grenada,98.47000000000003
United Kingdom,98.08000000000001
Ukraine,97.27000000000001
Argentina,97.20000000000002
Mongolia,97.09
Bosnia and Herzegovina,96.85000000000002
Australia,96.72000000000001
Russian Federation,95.63000000000001
Slovenia,95.39000000000001
Switzerland,95.24000000000001
Colombia,94.87000000000002
Panama,94.50000000000001
French Polynesia,94.4
Saint Kitts and Nevis,94.07000000000001
Portugal,94.06
Kuwait,93.59
Ireland,93.04000000000002
Malawi,92.96000000000004
Uzbekistan,92.73
Sweden,92.11000000000001
Madagascar,91.59000000000003
Poland,91.24000000000001
Peru,90.64000000000001
Brazil,90.59000000000002
Eswatini,90.57000000000002
Thailand,90.55000000000001
Republic of Moldova,89.87000000000002
Romania,89.70000000000002
Cyprus,89.67000000000002
Trinidad and Tobago,89.58000000000001
"Korea, South",89.58000000000001
Germany,88.03999999999999
Bulgaria,87.89
Gabon,86.49000000000001
Uruguay,86.07000000000002
Cambodia,85.43000000000002
Jamaica,84.98000000000002
El Salvador,84.83000000000001
Morocco,84.4
New Caledonia,84.31000000000002
Taiwan*,84.03
Georgia,83.76000000000002
Timor-Leste,83.69000000000003
Spain,83.30000000000001
Paraguay,82.96000000000001
Samoa,82.67000000000002
Canada,82.15000000000002
Iran (Islamic Republic of),81.85000000000002
Belize,81.39
Austria,81.18
Cabo Verde,80.84
Kazakhstan,80.36000000000001
United States of America,80.08000000000001
Belgium,79.74000000000001
Japan,79.24000000000001
South Africa,78.28
Israel,78.20000000000002
North Macedonia,78.04
Guatemala,78.03000000000003
Central African Republic,77.89000000000001
Egypt,77.44
Costa Rica,77.25
Italy,77.09
Afghanistan,75.9
Hungary,75.66
Congo,74.28999999999999
Indonesia,72.24000000000001
Czechia,72.12
Malaysia,71.71000000000001
Kenya,71.44000000000001
Ecuador,71.20000000000002
Angola,70.84000000000002
Fiji,69.75000000000001
Suriname,68.68
"Korea, North",68.45000000000002
Greece,68.42000000000002
Mali,68.34
Saudi Arabia,68.25000000000001
Algeria,67.3
Dominican Republic,67.06
Namibia,66.96000000000001
Haiti,66.85
Tunisia,65.27000000000001
Solomon Islands,65.08000000000001
Slovakia,64.69
Venezuela (Bolivarian Republic of),63.65000000000001
Sudan,63.31000000000001
Nicaragua,63.29000000000001
Cote d'Ivoire,63.2
Sri Lanka,63.150000000000006
Vanuatu,62.900000000000006
Tajikistan,62.52000000000001
Lebanon,62.49
Bangladesh,59.680000000000014
Mozambique,59.66000000000001
Nepal,59.66000000000001
Honduras,59.510000000000005
Pakistan,59.34
Yemen,59.22000000000001
Turkey,58.92
Lesotho,57.43000000000001
Rwanda,56.93000000000001
India,56.57
Guinea-Bissau,56.38
Ghana,55.56
Mauritius,55.36
Uganda,55.330000000000005
Chad,55.27
Botswana,55.07
Jordan,54.650000000000006
Ethiopia,53.64000000000001
Mauritania,51.44
Benin,51.03999999999999
Iraq,50.03
Cameroon,49.74
Djibouti,49.50000000000001
Kiribati,48.050000000000004
Zambia,44.400000000000006
Nigeria,44.220000000000006
Zimbabwe,42.36
Sao Tome and Principe,41.620000000000005
Liberia,40.42
Niger,40.15
Guinea,39.93
Sierra Leone,38.48
United Republic of Tanzania,38.42
Senegal,37.96
Burkina Faso,36.64
Togo,32.31
Gambia,27.26
