Country,Score
Cote d'Ivoire,69.864
Iran (Islamic Republic of),67.44999999999997
Morocco,66.13600000000002
Guyana,65.71600000000001
Peru,63.14400000000004
United Arab Emirates,61.85599999999998
Maldives,58.969999999999985
Bosnia and Herzegovina,56.07400000000001
Azerbaijan,55.57400000000001
Guatemala,51.50200000000003
Indonesia,48.06200000000001
Philippines,47.80200000000001
Lebanon,47.348000000000006
Oman,45.12199999999999
Algeria,44.814
Egypt,44.25600000000002
Israel,43.952
Nepal,41.574000000000005
Saint Vincent and the Grenadines,40.70999999999999
Madagascar,38.934000000000005
Tunisia,38.75199999999999
Kenya,37.993999999999986
El Salvador,36.4
Kuwait,35.99999999999995
Armenia,35.378000000000014
Malawi,34.68600000000001
Lao People's Democratic Republic,33.23200000000001
Barbados,32.644
Mali,32.30800000000002
Serbia,31.853999999999978
Cameroon,31.809999999999995
Bangladesh,31.532000000000025
Albania,31.325999999999958
Slovenia,31.310000000000002
North Macedonia,31.21799999999999
Benin,30.141999999999996
Sri Lanka,29.67400000000002
Vietnam,29.231999999999985
Bahamas,29.20199999999997
Ghana,29.142000000000067
Eswatini,28.10000000000001
Colombia,27.81999999999998
Kyrgyzstan,25.994
Estonia,25.764000000000024
Denmark,25.101999999999975
Bolivia,24.159999999999982
Mexico,24.049999999999983
"Korea, North",22.014000000000024
China,21.842000000000027
Turkey,21.820000000000007
Rwanda,21.552000000000007
Ethiopia,20.977999999999994
Solomon Islands,19.005999999999972
Malta,16.92999999999998
Afghanistan,16.890000000000015
Congo,16.627999999999986
India,15.594000000000023
Chile,15.408000000000044
Canada,15.076000000000036
Ukraine,14.840000000000032
Uzbekistan,14.352000000000032
Cyprus,13.92600000000003
Haiti,13.430999999999997
Lithuania,12.71799999999999
Grenada,12.532000000000025
Spain,12.436000000000007
Antigua and Barbuda,12.36999999999999
Saudi Arabia,11.890999999999963
Dominica,11.550000000000011
Cuba,11.466000000000008
Nigeria,11.434000000000069
Panama,10.51400000000001
Tajikistan,10.238000000000042
Norway,8.998000000000019
Belarus,8.90600000000002
Timor-Leste,7.999999999999972
Australia,6.783999999999992
United Kingdom,4.421000000000035
Cambodia,4.306000000000012
Thailand,3.796000000000035
Montenegro,3.1280000000000285
Mozambique,2.819999999999993
Costa Rica,2.340000000000046
Myanmar,1.5519999999999499
United States of America,1.2099999999999653
Jamaica,1.0259999999999536
Iceland,-0.47400000000000375
Guinea-Bissau,-0.8560000000000372
Romania,-0.9579999999999984
Saint Lucia,-1.2300000000000182
Netherlands,-1.4999999999999858
Sweden,-2.1919999999999504
Greece,-2.288000000000025
Trinidad and Tobago,-2.8260000000000076
Uganda,-3.6230000000000473
New Zealand,-3.7890000000000015
Georgia,-4.084000000000032
Gabon,-4.567999999999998
Jordan,-4.794000000000025
Dominican Republic,-5.819999999999979
Portugal,-6.615999999999971
Ireland,-7.024000000000001
Latvia,-7.375999999999976
"Korea, South",-10.14
Japan,-10.537999999999968
Namibia,-10.85399999999997
United Republic of Tanzania,-11.21799999999999
France,-11.850000000000037
Switzerland,-11.987999999999943
Germany,-13.123999999999995
Belgium,-13.567999999999998
Croatia,-14.452000000000012
Paraguay,-14.888000000000076
Cabo Verde,-15.837999999999923
Venezuela (Bolivarian Republic of),-15.926000000000002
Italy,-16.812000000000054
Guinea,-17.094000000000023
Saint Kitts and Nevis,-17.21600000000005
Sao Tome and Principe,-17.932000000000073
Kiribati,-18.486000000000075
Angola,-19.116000000000028
Sierra Leone,-21.34799999999997
Taiwan*,-21.361999999999995
Djibouti,-22.766000000000005
Belize,-23.023999999999972
Central African Republic,-23.857
Iraq,-24.168000000000035
Kazakhstan,-25.10600000000001
Suriname,-25.183999999999983
Samoa,-26.06600000000006
Sudan,-26.456999999999994
Republic of Moldova,-26.491
Finland,-28.562000000000026
Botswana,-29.822000000000003
Yemen,-30.32199999999996
Honduras,-30.870000000000047
Ecuador,-31.542000000000023
Turkmenistan,-32.10400000000006
French Polynesia,-32.24000000000008
Luxembourg,-33.79799999999997
Bulgaria,-34.38799999999999
New Caledonia,-35.35800000000002
Mauritius,-36.610000000000056
Russian Federation,-36.98400000000001
Vanuatu,-38.202
Niger,-38.382999999999996
Austria,-38.79400000000005
Nicaragua,-39.43200000000003
Malaysia,-39.60200000000006
Senegal,-39.62800000000003
Lesotho,-40.48200000000001
Fiji,-42.32199999999999
Zimbabwe,-44.02000000000005
Brazil,-44.15399999999999
Liberia,-45.93999999999998
Uruguay,-46.80799999999998
Togo,-46.988999999999976
Zambia,-48.156000000000006
Poland,-48.61800000000003
Burkina Faso,-51.581999999999965
Czechia,-54.93599999999995
South Africa,-58.26399999999998
Argentina,-62.14800000000001
Chad,-62.95300000000005
Pakistan,-63.28600000000003
Slovakia,-63.91800000000002
Mauritania,-71.695
Gambia,-72.20799999999997
Mongolia,-82.82400000000004
Hungary,-83.57800000000002
