Country,Score
Cote d'Ivoire,44.75299999999999
Iran (Islamic Republic of),45.86000000000003
Morocco,46.62199999999999
Guyana,46.831999999999994
Peru,48.11799999999996
United Arab Emirates,48.752000000000024
Maldives,50.19500000000001
Bosnia and Herzegovina,51.65299999999999
Azerbaijan,51.897999999999996
Guatemala,53.92899999999998
Lebanon,56.00600000000001
Oman,57.12900000000001
Algeria,57.28300000000001
Israel,57.71400000000001
Indonesia,58.774
Philippines,59.009
Egypt,59.146999999999984
Saint Vincent and the Grenadines,59.335000000000015
Tunisia,60.30900000000002
Nepal,60.478
Kenya,60.58800000000001
El Salvador,61.48500000000002
Kuwait,61.69000000000005
Madagascar,61.812999999999995
Armenia,61.980999999999995
Malawi,62.346999999999994
Mali,63.35099999999997
Barbados,63.35800000000001
Serbia,63.76300000000003
Cameroon,63.78000000000001
Albania,63.92200000000006
Slovenia,64.03
North Macedonia,64.08100000000002
Benin,64.619
Lao People's Democratic Republic,64.66399999999999
Bahamas,65.08900000000003
Ghana,65.09899999999995
Bangladesh,65.51399999999998
Eswatini,65.64
Colombia,65.78000000000003
Vietnam,66.63300000000001
Kyrgyzstan,66.69300000000001
Estonia,66.77699999999997
Denmark,67.03400000000002
Bolivia,67.57900000000002
Mexico,67.66500000000002
Sri Lanka,68.073
"Korea, North",68.58299999999996
Turkey,68.78
Rwanda,68.914
Ethiopia,69.09600000000002
Solomon Islands,70.18700000000003
Malta,71.22500000000002
Afghanistan,71.24499999999999
Congo,71.37600000000002
India,71.78799999999998
Chile,71.95499999999997
China,71.95799999999998
Canada,72.15199999999997
Ukraine,72.26999999999998
Uzbekistan,72.32799999999997
Cyprus,72.72699999999998
Lithuania,73.33100000000002
Spain,73.36699999999999
Grenada,73.42399999999998
Antigua and Barbuda,73.50500000000001
Saudi Arabia,73.64200000000002
Dominica,73.91499999999999
Cuba,73.957
Nigeria,73.97299999999994
Panama,74.41299999999998
Tajikistan,74.57099999999996
Belarus,75.05099999999999
Norway,75.19099999999999
Haiti,75.447
Timor-Leste,75.69000000000004
Australia,76.298
United Kingdom,77.38699999999996
Thailand,77.76099999999997
Montenegro,78.11599999999997
Mozambique,78.28
United States of America,78.98000000000003
Cambodia,79.12699999999998
Jamaica,79.17700000000005
Iceland,79.87599999999999
Guinea-Bissau,80.01800000000003
Romania,80.169
Saint Lucia,80.30500000000002
Netherlands,80.32499999999999
Sweden,80.78599999999994
Uganda,80.81300000000005
Greece,80.83400000000003
Trinidad and Tobago,81.09800000000001
New Zealand,81.38700000000001
Georgia,81.54600000000002
Costa Rica,81.73499999999997
Gabon,81.87400000000001
Jordan,82.08700000000003
Myanmar,82.12400000000005
Dominican Republic,82.59999999999998
Portugal,82.99299999999998
Latvia,83.18199999999997
Ireland,83.20200000000001
"Korea, South",84.65500000000002
Namibia,85.11699999999998
United Republic of Tanzania,85.184
Switzerland,85.56899999999996
France,85.61500000000004
Germany,86.147
Belgium,86.33800000000001
Japan,86.51799999999996
Croatia,86.81100000000002
Paraguay,87.13400000000007
Venezuela (Bolivarian Republic of),87.55299999999998
Cabo Verde,87.60899999999994
Italy,88.09600000000005
Guinea,88.13700000000003
Saint Kitts and Nevis,88.29800000000004
Sao Tome and Principe,88.64600000000007
Kiribati,88.71600000000007
Angola,89.23800000000003
Sierra Leone,90.36399999999998
Taiwan*,90.371
Central African Republic,90.966
Djibouti,91.07300000000002
Belize,91.20199999999997
Iraq,91.77400000000003
Kazakhstan,92.24300000000001
Sudan,92.27099999999999
Suriname,92.28199999999998
Samoa,92.53700000000006
Republic of Moldova,92.843
Finland,93.96100000000003
Botswana,94.601
Yemen,94.81999999999996
Honduras,95.12500000000006
Ecuador,95.45600000000003
Turkmenistan,95.74200000000006
French Polynesia,95.77900000000008
Luxembourg,96.55799999999998
Bulgaria,96.87899999999999
New Caledonia,97.36900000000001
Mauritius,97.99500000000006
Russian Federation,98.177
Niger,98.234
Vanuatu,98.605
Austria,98.95100000000005
Nicaragua,99.40600000000003
Malaysia,99.40900000000006
Senegal,99.49900000000002
Lesotho,99.93100000000001
Fiji,100.84599999999999
Zimbabwe,101.70000000000006
Togo,102.53699999999998
Liberia,102.54999999999998
Uruguay,103.09399999999998
Zambia,103.73700000000001
Poland,103.88400000000003
Burkina Faso,105.48099999999997
Brazil,106.472
Czechia,107.09599999999995
South Africa,108.71699999999998
Chad,110.41400000000006
Argentina,110.65400000000001
Slovakia,111.64900000000003
Pakistan,112.91800000000003
Mauritania,114.78999999999999
Gambia,115.68899999999998
Mongolia,121.10200000000003
Hungary,121.37400000000002
