Country,Score
Azerbaijan,59.83941631344969
Maldives,58.041163666015485
Oman,56.021821457455836
Bosnia and Herzegovina,55.50314791184272
Guyana,54.33664501625257
United Arab Emirates,51.50500180173965
Armenia,50.66911479802896
Serbia,49.80116307341656
Denmark,49.09447157201925
Peru,47.27514477146347
Bahamas,46.35757983940577
Philippines,45.21243353860454
Estonia,44.363414477917296
China,42.55991395207027
Albania,40.93187983728156
Kyrgyzstan,40.24678834897645
Kuwait,39.1799587512157
Morocco,38.514715479228634
Saint Vincent and the Grenadines,38.42138176289014
Slovenia,38.296996793583446
Malta,36.83427493962672
Barbados,35.94957772891385
Cote d'Ivoire,34.673076096417404
Iceland,33.73650533733034
Antigua and Barbuda,30.85339282136634
Iran (Islamic Republic of),30.54760206624797
Montenegro,29.09075262662701
Dominica,28.289645236988918
Indonesia,28.093779487183397
Guatemala,28.08695321817165
Israel,28.062312269662975
North Macedonia,27.254010517052883
Mexico,25.256475572118518
Algeria,25.232102116503583
El Salvador,25.112685344885143
Norway,25.103110568869553
Lithuania,24.727750885316553
Cyprus,24.297579049195107
Vietnam,24.112519875352476
Bolivia,23.90171396346608
Madagascar,23.664038560332486
Australia,22.026133619744343
Panama,21.95150705641656
Egypt,21.2626947818991
Grenada,20.883433737081987
Colombia,20.859962739447383
Ukraine,20.682459898976276
Saint Lucia,19.965731381950945
United Kingdom,19.18159777402269
Romania,17.41815404373814
Tunisia,17.303417217667032
Nepal,16.613321542900948
Kenya,16.59994348166049
Croatia,16.596800458278693
Eswatini,16.462841973815756
Lebanon,16.390731243259324
Uzbekistan,16.342253001360376
Latvia,16.207935235528893
Mali,15.958002339627186
Lao People's Democratic Republic,15.90710085062004
Chile,15.66383587076804
Sri Lanka,14.50694406806312
Georgia,14.32344257841173
Afghanistan,14.198562030860288
France,12.708173006424374
Costa Rica,11.862891172034452
Belarus,10.980250305726429
Spain,10.687506626714594
Ireland,10.581179737652818
Saudi Arabia,9.9388796691903
Myanmar,7.744898565555744
Portugal,7.514058924158917
Sweden,7.321761341155593
Netherlands,6.961211047625753
Jamaica,6.738585650664632
Cuba,6.6984718267970464
Luxembourg,5.136180589498522
Finland,4.745139177127001
Greece,4.522990414608373
Malawi,3.8445903946767714
Trinidad and Tobago,3.7828970296772724
United States of America,2.5572069908524924
Bangladesh,1.9878243904790054
Canada,1.7850332974139036
Switzerland,1.4475085743108878
Tajikistan,0.7388196889053944
Turkey,0.6133494788398366
New Zealand,-0.6388926318833228
Germany,-0.8572050850979025
Thailand,-1.064423167699033
Japan,-1.813306149877505
Congo,-2.3416619622608295
Solomon Islands,-2.616056456641985
Republic of Moldova,-2.7799144478950524
Haiti,-3.6616129401956385
Kazakhstan,-4.097890298784222
India,-4.67898411790101
Gabon,-4.713015479737123
Cabo Verde,-6.2454429925377895
Bulgaria,-6.500383462182512
"Korea, South",-7.0243439341725065
Turkmenistan,-7.4210448777608775
Belgium,-7.754034235005847
Ethiopia,-8.348034658737461
Benin,-8.39763750619312
Cameroon,-8.54449371124096
Ghana,-8.698466930096131
Saint Kitts and Nevis,-8.807567316939412
Rwanda,-9.690863659535964
Namibia,-10.413810324510408
Dominican Republic,-10.756902652122704
Cambodia,-10.937415580913324
French Polynesia,-10.99369518715882
Russian Federation,-11.042110885486053
Timor-Leste,-11.176260574149495
Paraguay,-11.639972748828782
New Caledonia,-11.977870847975723
Italy,-14.181984920721021
Botswana,-15.230205775102803
"Korea, North",-15.892911454787182
Jordan,-16.33790546359299
Belize,-16.419494875870626
Taiwan*,-17.22137814026081
Sudan,-18.204368224000277
Austria,-20.64747733853143
Uruguay,-21.445475837544002
Venezuela (Bolivarian Republic of),-21.560483674207987
Djibouti,-22.869343814893533
Mozambique,-23.186198923442845
Uganda,-23.251013774963802
Ecuador,-24.670799411198537
Samoa,-26.116230456226916
Guinea-Bissau,-26.34344275714281
Brazil,-26.350151263755095
Suriname,-27.01205561867362
Nigeria,-27.907689672759908
Honduras,-28.11713250248146
Mongolia,-28.327929398953238
Nicaragua,-29.864773583303055
Mauritius,-29.902771008419094
Iraq,-30.567475564900406
Czechia,-31.03822008010546
Yemen,-31.817945088880926
Angola,-32.14023715473614
Argentina,-32.21349291502525
Central African Republic,-32.30222262464498
Poland,-35.19357522695772
Fiji,-36.817550008903666
Malaysia,-39.248440658366306
South Africa,-39.26819281763788
Pakistan,-39.681097833435686
Guinea,-40.41560488921653
Lesotho,-42.42632846746399
Sierra Leone,-43.89506183335847
United Republic of Tanzania,-44.1147061650045
Vanuatu,-44.16981415512383
Slovakia,-45.511483073523664
Sao Tome and Principe,-46.12170177494114
Niger,-46.1222044569719
Mauritania,-46.190473916108644
Kiribati,-48.83942957987114
Senegal,-49.90265239575205
Hungary,-50.41908202686703
Zimbabwe,-53.676916522971105
Zambia,-55.74124483778239
Chad,-57.520231074869415
Burkina Faso,-61.2770932802209
Liberia,-64.08240477477167
Togo,-64.99220973767954
Gambia,-74.85660062022993
