Country,Score
Cote d'Ivoire,113.86921672269102
Iran (Islamic Republic of),112.62475392308147
Morocco,112.02834049411317
Guyana,112.01974487985748
Peru,110.72810497419013
United Arab Emirates,110.07846376920784
Maldives,108.11088192834595
Azerbaijan,106.71712768345091
Bosnia and Herzegovina,106.64083989408186
Indonesia,105.77593520834458
Philippines,105.33227824338881
Guatemala,104.6416156325667
Egypt,102.593046334368
Lebanon,101.96970663307039
Oman,101.31654895958322
Algeria,100.91921541884291
Nepal,100.74753336694792
Israel,100.47335357883131
Madagascar,99.49447178230446
Saint Vincent and the Grenadines,99.08162270171579
Kenya,97.62587449428395
Tunisia,97.47351557992428
Lao People's Democratic Republic,97.1635532652761
El Salvador,97.04675154168169
Armenia,96.19890268465991
Malawi,95.90692446239967
Sri Lanka,95.7965972588447
Kuwait,95.7458254922341
Bangladesh,95.40424526439475
Cameroon,94.69186576045938
Barbados,94.67241609785907
Mali,94.28207666789869
Albania,94.17573548744971
Vietnam,94.15347679423911
Slovenia,94.00979335183047
Serbia,93.87193721815399
Benin,93.8321739297825
North Macedonia,93.57472196811278
Ghana,93.39740873606502
Bahamas,93.15621496061033
Eswatini,92.41061328947242
China,92.36759432730021
Colombia,92.20738070138441
Kyrgyzstan,91.43898478263435
Estonia,91.23765319774355
Denmark,90.95405736257096
Bolivia,90.57664816646118
Mexico,90.34818392241701
Turkey,89.34796395591965
"Korea, North",88.79406473357045
Solomon Islands,88.51627063914742
Rwanda,88.50449599172154
Ethiopia,88.43882856612211
Haiti,87.65897208703552
Congo,86.49894207746055
Malta,86.4088646511243
India,86.29848645930686
Afghanistan,86.13698402311695
Chile,85.87720471063628
Canada,85.1426059840173
Ukraine,84.93983347872218
Cyprus,84.78201805429956
Uzbekistan,84.74151117646676
Grenada,84.61002067565013
Lithuania,84.59224698671736
Nigeria,84.33574154772526
Antigua and Barbuda,84.29716304704847
Spain,84.25959672446484
Saudi Arabia,84.12105024909505
Cuba,83.7366282548968
Dominica,83.67437602689066
Tajikistan,83.28240631662558
Belarus,83.05126226954229
Panama,82.85388378441007
Costa Rica,82.79695150033264
Norway,82.42644380602367
Timor-Leste,81.69227440007667
Cambodia,81.6488092252547
Myanmar,81.64655795213764
Australia,81.54989789538611
Thailand,80.17494095588356
United Kingdom,80.00272307419168
Mozambique,79.92202448800572
Montenegro,79.51925874051341
Iceland,78.51329611068725
United States of America,78.37600293582742
Jamaica,78.24596873109247
Saint Lucia,78.23632880572592
Romania,77.8522346897663
Guinea-Bissau,77.61121829486851
Netherlands,77.48157931995587
Trinidad and Tobago,77.34256645229925
Sweden,76.915830387299
Greece,76.75955264295142
Georgia,76.25185759263893
New Zealand,76.21355971176523
Uganda,76.12671548395014
Jordan,75.58482411756799
Dominican Republic,75.47219046282518
Gabon,75.32603484511188
Portugal,74.83949169606328
Latvia,74.364361261427
Japan,74.2246591752386
Ireland,74.14155366589628
"Korea, South",73.40446304436836
Namibia,72.95963668727461
United Republic of Tanzania,72.7039946818729
Switzerland,72.21959216936693
France,72.14697014051771
Germany,71.37346001453051
Croatia,70.80808181119423
Cabo Verde,70.71435679614393
Belgium,70.71146591606593
Paraguay,70.23105255920521
Italy,69.59522230387819
Venezuela (Bolivarian Republic of),69.50775779565043
Sao Tome and Principe,69.2815546516236
Saint Kitts and Nevis,69.1769572258811
Guinea,69.15454306957224
Kiribati,68.83286014519591
Angola,68.13624469912548
Djibouti,67.34717776683101
Sierra Leone,67.28020103488825
Taiwan*,67.27304436875971
Iraq,66.68297029043259
Belize,66.53182410174902
Central African Republic,66.02021209733029
Samoa,65.47265006047274
Kazakhstan,65.4416760984384
Suriname,65.31145627953926
Sudan,64.90232713050543
Republic of Moldova,64.49102808731372
Finland,63.8788780262782
Botswana,63.539147543422274
Honduras,62.790605392190415
Yemen,62.733529778816475
Ecuador,62.24618425567775
French Polynesia,61.841302113838694
Turkmenistan,61.565754485962074
Luxembourg,61.03482138178315
New Caledonia,60.829841964609514
Bulgaria,60.763175585304914
Brazil,60.75422390153018
Mauritius,59.502624614621716
Russian Federation,59.454699210374386
Austria,58.69952763875041
Malaysia,58.60383989085179
Senegal,58.4537322231094
Niger,58.176827958675275
Nicaragua,58.05869396574028
Vanuatu,57.904239344202175
Lesotho,57.72457877576845
Fiji,56.781995359601794
Zimbabwe,56.34752343229842
Liberia,54.946626247013924
Togo,54.67921509870229
Uruguay,54.43026643045896
Zambia,53.20317212406793
Poland,53.12304301897532
Burkina Faso,52.402599355690114
Czechia,50.22952943515615
South Africa,48.69731291948
Pakistan,48.400118297331964
Chad,46.60433110498304
Argentina,46.5903007766683
Slovakia,45.583381385372974
Gambia,42.23504873541021
Mauritania,42.02244205508472
Mongolia,36.70393783551884
Hungary,36.009830225043416
