Country,Value
Maldives,4.7974337
Estonia,4.6954296
Albania,4.6788641
Montenegro,4.643091899999999
Kyrgyzstan,4.6319509
Azerbaijan,4.5926347
Iceland,4.4942237999999985
Finland,4.487658
Rwanda,4.4411353
Serbia,4.4380015
Mongolia,4.430342300000001
Malta,4.397439200000001
Bosnia and Herzegovina,4.392353000000001
Armenia,4.342249
Luxembourg,4.296574000000001
Denmark,4.2884511
Croatia,4.2389548
Netherlands,4.2122799
Uzbekistan,4.2045376
Turkmenistan,4.195988999999999
Saint Lucia,4.193657599999999
China,4.1875419
United Arab Emirates,4.1824044
Guyana,4.1794479
Georgia,4.1782645
Chile,4.1757353
Bahamas,4.1736865
Vietnam,4.1568195
Oman,4.1466663
Switzerland,4.124852099999999
Antigua and Barbuda,4.119124700000001
Mali,4.116623000000001
Dominica,4.1128262
Romania,4.1080447
Slovenia,4.1009002
Latvia,4.100765699999999
Bolivia,4.0845938
Saint Vincent and the Grenadines,4.0758026
El Salvador,4.0696031999999995
Norway,4.0618688999999994
Ukraine,4.0564737
Grenada,4.044559699999999
France,4.038728300000001
Lithuania,4.038137299999999
Kenya,4.017074200000001
United Kingdom,4.0128311000000005
Eswatini,4.0022389
Argentina,3.992690300000001
Iran (Islamic Republic of),3.9810650999999995
Kazakhstan,3.9703827
Ireland,3.9659076
New Zealand,3.9644549999999996
Cyprus,3.9496382999999997
Barbados,3.9443002999999996
Australia,3.9414476999999994
Sweden,3.9365939999999995
Mexico,3.935853400000001
Afghanistan,3.9352915000000004
Uruguay,3.9310754
Germany,3.9279229
Madagascar,3.9268889000000002
Cuba,3.9226982
Sudan,3.9157695
Philippines,3.8960352
Poland,3.8914852
Republic of Moldova,3.8865714000000007
Pakistan,3.8806763999999996
Peru,3.8737938
Kuwait,3.8672197999999995
Bulgaria,3.8629305000000005
Panama,3.8589051000000008
Malawi,3.8580291000000004
Russian Federation,3.8484156
Colombia,3.8430359999999997
Greece,3.8425938000000004
French Polynesia,3.8342706999999994
New Caledonia,3.8256367000000004
Guatemala,3.8167573
Portugal,3.8085573
Cabo Verde,3.7921474
Myanmar,3.784802
United States of America,3.7720597999999996
Egypt,3.7662752
Lao People's Democratic Republic,3.7636192000000004
Nicaragua,3.762822
Israel,3.7531977000000003
Trinidad and Tobago,3.7527198999999998
Belgium,3.741101500000001
Italy,3.7315409
Belarus,3.7284745999999998
Ethiopia,3.7235168999999995
Dominican Republic,3.7228294000000006
Lesotho,3.7225666000000004
Botswana,3.7214332999999997
Spain,3.7166432000000005
Saint Kitts and Nevis,3.7146929000000006
Brazil,3.7111069999999997
Austria,3.7091373000000005
Jamaica,3.7027586
North Macedonia,3.699772
Tajikistan,3.6978756999999995
Algeria,3.6965787000000008
Hungary,3.6953038000000005
Timor-Leste,3.6940435999999996
Morocco,3.6808566000000003
Czechia,3.677279
Cambodia,3.669833599999999
Turkey,3.6660498
Honduras,3.6585874
South Africa,3.6556632999999996
Lebanon,3.6531058
Ecuador,3.6510679
Mauritania,3.6452483
Costa Rica,3.6308710000000004
Gabon,3.6288001
Saudi Arabia,3.6232523000000003
Canada,3.6126050000000003
Paraguay,3.6074731
Japan,3.6011259999999994
Namibia,3.5945931
Tunisia,3.5931409000000007
Belize,3.5750765999999996
Thailand,3.5471163000000008
Chad,3.5455619000000005
Nepal,3.5242474
Guinea-Bissau,3.5233580000000004
India,3.5212924
"Korea, South",3.5199208000000004
Venezuela (Bolivarian Republic of),3.5198004
Niger,3.50616
Samoa,3.4900882
Slovakia,3.4781041000000004
Taiwan*,3.4727029000000003
Haiti,3.4550513999999994
Yemen,3.4526622999999996
Mozambique,3.4506452
Central African Republic,3.4340776
Angola,3.4192842
Jordan,3.3898502000000006
Cote d'Ivoire,3.3869096
Malaysia,3.3788313000000003
Suriname,3.3756746
Zambia,3.3670500999999993
Uganda,3.3637516
"Korea, North",3.3456621999999996
Mauritius,3.3348634999999995
Djibouti,3.3321616000000005
Bangladesh,3.3316055000000007
Fiji,3.326303900000001
Solomon Islands,3.3155782999999994
Sri Lanka,3.3142045
Congo,3.3090674
Vanuatu,3.3041625999999993
Zimbabwe,3.2957992
Indonesia,3.2788106999999997
Iraq,3.2765292999999995
Benin,3.274493000000001
Burkina Faso,3.2364120999999995
Ghana,3.2011305
Cameroon,3.1667151
Kiribati,3.1335505
United Republic of Tanzania,3.1125854000000004
Sao Tome and Principe,3.0690347
Togo,3.05545
Nigeria,3.0390031
Gambia,3.0338743
Senegal,3.0228814999999996
Guinea,3.0179422000000002
Sierra Leone,2.992192900000001
Liberia,2.9893524
